run_id,task_id,op_family,entrypoint,historical_policy_pass,current_policy_pass,current_rejection_reason,historical_verification_pass,candidate_path,evidence_status
20260520_202314,KernelBench__level1__59_conv_standard_3D__asymmetric_input__square_kernel,convolution,free_forward,true,false,obvious_torch_fallback:torch.nn.functional.conv3d,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__59_conv_standard_3D__asymmetric_input__square_kernel/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__95_CrossEntropyLoss,loss,free_forward,true,false,obvious_torch_fallback:loss.mean,true,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__95_CrossEntropyLoss/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__98_KLDivLoss,loss,free_forward,true,false,obvious_torch_fallback:out.sum,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__98_KLDivLoss/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__99_TripletMarginLoss,loss,free_forward,true,false,obvious_torch_fallback:out.mean,true,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__99_TripletMarginLoss/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__10_3D_tensor_matrix_multiplication,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__10_3D_tensor_matrix_multiplication/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__11_4D_tensor_matrix_multiplication,matmul,free_forward,true,false,obvious_torch_fallback:tensor_method:A.view,false,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__11_4D_tensor_matrix_multiplication/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__13_Matmul_for_symmetric_matrices,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__13_Matmul_for_symmetric_matrices/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__14_Matmul_for_upper_triangular_matrices,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__14_Matmul_for_upper_triangular_matrices/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__15_Matmul_for_lower_triangular_matrices,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__15_Matmul_for_lower_triangular_matrices/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__16_Matmul_with_transposed_A,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__16_Matmul_with_transposed_A/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__44_Average_Pooling_1D,pooling,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__44_Average_Pooling_1D/candidate_000.py,historical_adapter_output_only
20260520_213128,KernelBench__level1__98_KLDivLoss,loss,free_forward,true,false,obvious_torch_fallback:torch.log,true,artifacts/runpod_imports/runs/20260520_213128/candidates/KernelBench__level1__98_KLDivLoss/candidate_000.py,historical_adapter_output_only
